URL,Response Code,News Error,Detected,Category,Platform,Last crawled
https://www.lehmans.com/p-3683-plated-wall-brackets-for-aladdin-oil-lamps.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/C-248-sewing-and-quilting.aspx,404,,7/13/16,Not found,Desktop,7/20/16
https://www.lehmans.com/C-288-digging-and-cultivating.aspx,404,,7/11/16,Not found,Desktop,7/18/16
https://www.lehmans.com/p-2370-metal-soda-pop-bottle-caps.aspx,404,,7/18/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-1575-cherry-pitter-repair-kit.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/cookies,404,,6/29/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-1513-12-volt-fan-for-non-x2d-electric-composting-toilet.aspx,404,,7/18/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2887-defiant-two-in-one-convertible-catalyticnon-catalytic-wood-stove.aspx,404,,7/3/16,Not found,Desktop,7/18/16
https://www.lehmans.com/p-211-steel-saddle-safety-pin.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-1152-nature-s-way-flavored-hard-wood-pellets.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-3134-glenda-s-tiny-book-of-big-tips.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2828-amish-made-casualwork-leather-belts.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-528-lehman-rsquo-s-chain-pump.aspx,404,,7/19/16,Not found,Desktop,7/19/16
https://www.lehmans.com/p-3536-our-better-nutcracker.aspx,404,,7/19/16,Not found,Desktop,7/19/16
https://www.lehmans.com/p-660-mug-x2d-sized-3-x22-strainer.aspx,404,,7/14/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-327-original-havahart-animal-traps.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-4950-bio-block-heating-blocks.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-4942-stainless-steel-pressure-cooker-set.aspx?show=all,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-9047-original-bromwell-flour-sifter.aspx?show=all,404,,7/2/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2266-3-8-replacement-chimney-with-pearl-top.aspx,404,,7/17/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-8094-amish-phone-booth-puzzle.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2554-solar-emergency-am-fm-weather-radio-light.aspx,404,,7/20/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-2057-the-original-kirk-s-castile-liquid-soap.aspx,404,,7/18/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2099-clear-oil-lamp-chimney-1-1-4-base.aspx,404,,7/18/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/stainless-steel-food-mill,404,,7/16/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-5368-78-tubular-rayo-jr-wick.aspx,404,,7/18/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-2926-our-own-old-fashioned-corn-planter.aspx,404,,7/4/16,Not found,Desktop,7/18/16
https://www.lehmans.com/p-9058-gransfors-bruks-scandinavian-forest-axe.aspx?show=all,404,,7/3/16,Not found,Desktop,7/21/16
https://www.lehmans.com/p-2098-clear-oil-lamp-chimney-1-5-8-base.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-9027-pickle-pebbles.aspx?show=all,404,,7/2/16,Not found,Desktop,7/19/16
https://www.lehmans.com/product/birds-beak-paring-knife,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-3099-replacement-oil-lamp-chimney-2-7-8-base.aspx,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2287-optional-110v-to-12v-wall-transformer-for-nature-s-head-composting-toilets.aspx,404,,7/18/16,Not found,Desktop,7/19/16
https://www.lehmans.com/product/replacement-insert-for-stainless-steel-milk-strainer,404,,7/19/16,Not found,Desktop,7/19/16
https://www.lehmans.com/p-2828-amish-made-casualwork-leather-belts.aspx?show=all&,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/product/heirloom-widger-trowel,404,,7/19/16,Not found,Desktop,7/21/16
https://www.lehmans.com/urlredirect.aspx?redirect=/catalog,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-5335-dial-hanging-scale.aspx,404,,7/18/16,Not found,Desktop,7/18/16
https://www.lehmans.com/product/kilner-round-clip-top-jars-50-oz,404,,7/6/16,Not found,Desktop,7/15/16
https://www.lehmans.com/p-5235-kirks-fragrance-free-castile-bar-soap.aspx?utm_source=newKicker&utm_medium=intrasite&utm_campaign=13_dec09&,404,,7/20/16,Not found,Desktop,7/20/16
https://www.lehmans.com/p-2967-our-best-water-ram-pumps.aspx,404,,7/19/16,Not found,Desktop,7/20/16
